"Libellé ","Intitulé","Title"
"TVA_DEDIMB","TVA déduite au titre des Achats Immeubles","VAT deducted for Real Estate Purchases"
"TVA_BASEQL","Base Achat équipements locaux","Base Purchase local equipment"
"TVA_DEDEQL","TVA déduite au titre des achats équipements locaux","VAT deducted for local equipment purchases"
"TVA_BASEQI","Base Achat équipements importés","Base Purchase imported equipment"
"TVA_DEDEQI","TVA déduite au titre des achats équipements importés","VAT deducted for imported equipment purchases"
"TVA_BASAUL","Base  Autres Achats locaux ","Base Other Local purchases"
"TVA_DEDAUL","TVA déduite au titre des Autres Achats locaux ","VAT deducted for Other local purchases"
"TVA_BASAUI","Base  Autres Achats importés","Base  Autres Achats importés"
"TVA_DEDAUI","TVA déduite au titre des Autres Achats importés","VAT deducted for other imported purchases"
"TVA_BASRSM","Base TVA/RS sur marchés","VAT / RS basis on markets"
"TVA_DEDRSM","TVA déduite au titre TVA/RS sur marchés","VAT deducted for VAT / RS on markets"
"TVA_RSNRES","TVA RS Non résidents","TVA RS Non résidents"
"TVA_TRSPOR","TVA sur transport","TVA sur transport"
"TVA_DEDREG","TVA déduite en Régulasition","VAT deducted in Regulasition"
"TVA_RESTIT","TVA Restitué","VAT Restituted"
"TVA_MNTPAY","TVA  Payée","VAT paid"
"TVA_MOIFIN","Mois Fin","Month End"
"TVA_CRDFIN","Crédit Initial","Initial Credit"
"TVA_ACHSUS","Achat en Suspension de la TVA","Purchase on suspension of VAT"
"TVA_ACHEXO","Achat Exonéné de TVA","VAT Exempt Purchase"
"TVA_ACHNDD",,
"TVA_CAFEXP","Chiffre d'affaires Export","Export turnover"
"TVA_CAFSUS","Chiffre d'affaires Suspension de TVA","Turnover VAT suspension"
"TVA_CAFEXO","Chiffre d'affaires Exonéré","Exempt Revenue"
"TVA_AACHAB","Total base achat","Total purchase base"
"TVA_CRDBLQ","Crédit de TVA demandé en restitution et dont le droit à déduction a été suspendu durant le mois","VAT credit requested for refund and the right to deduct has been suspended during the month"
"TVA_CRDRES","Reliquat du crédit d'impôt demandé en réstitution","Remainder of the claimed tax credit"
"TVA_CRDRMP","Reliquat du crédit d'impôt demandé en restitution et dont le droit à déduction a été suspendu durant les mois précédents","Remainder of the tax credit claimed for restitution and whose deduction right was suspended during the previous months"
"TVA_CRDREP","Montant du crédit concerné par la reprise du droit à déduction (a dépassé 120 jours à compter de la date de la suspension du droit à déduction)","Amount of credit concerned by the resumption of the right to deduct (has exceeded 120 days from the date of the suspension of the right of deduction)"
"TVA_CRDRMC","Reliquat du crédit d'impôt demandé en restitution et dont à déduction a été supendu","Remainder of the tax credit claimed in restitution from which deduction has been deducted"
"TVA_MACHN","Montant des Achats auprès  des non assujettis à la TVA ","Amount of purchases from non-VATpayers"
"TVA_MCESQ","Montant de Cession à quai ","Amount of Transfer at the pier"
"TVA_MTVLSM","Montant livraison à soi même (dû)","Amount delivery to oneself (due)"
"TVA_TXVLSM","Taxe Due livraison à soi même (dûe)","Tax due delivery to itself (due)"
"TVA_MTALSM","Montant livraison à soi même (déductible)","Amount delivery to oneself (deductible)"
"TVA_TXALSM","Taxe Due  livraison à soi même (déductible)","Tax due delivery to oneself (deductible)"
"TVA_MTORDTVA","Montant de l'Ordre de Restitution de TVA","Amount of VAT refund order"
"TVA_MTDJRTVA","Montant déjà Restitué de TVA","Amount already Restated from VAT"
"TVA_MTORDTAX","Montant de l'Ordre de Restitution des autres taxes","Amount of the Order of Restitution of other taxes"
"TVA_MTDJRTAX","Montant déjà restitué des autres taxes","Amount already refunded of other taxes"
"TVA_MTRESTAX","Montant restitué des autres taxes","Amount returned from other taxes"
"TVA_CA072018","CA au taux 7%(LF 2018)","CA at 7% rate (LY 2018)"
"TVA_CA132018","CA au taux 13%(LF 2018)","CA at 13% rate (LY 2018)"
"TVA_CA192018","CA au taux 19%(LF 2018)","CA at 19% rate (LY 2018)"
"Informations de Recoupements",,"Cross-over information"
"ADB_MNTORD","Montant Ordonnancé par les administrations publiques","Amount Ordered by the general government"
"SND_MNTPRD_I","Montant Produit à l'Importation","Amount Produced on Imports"
"SND_MNTTVA_I","Montant TVA à l'Importation","Import VAT amount"
"SND_MNTDRC_I","Montant Droit de Consommation à l'Importation","Amount of Import Consumption Right"
"SND_MNTAVA_I","Montant Avance à l'Importation","Amount Advance to Import"
"SND_MNTTAX_I","Montant Autres Taxes Payés à l'Importation","Amount Other Taxes Paid on Imports"
"SND_MNTPAY_I","Montant Total Payé à l'Importation","Total Amount Paid for Importation"
"SND_MNTAIR_I",,
"SND_MNTPRD_E","Montant Produit Exporté","Amount Exported Product"
"SND_MNTTVA_E","Montant TVA à l'Exportation","VAT amount on export"
"SND_MNTDRC_E","Montant Droit de Consommation à l'Exportation","Amount of Export Consumption Right"
"SND_MNTAVA_E","Montant Avance à l'Exportation","Amount Advance for Export"
"SND_MNTTAX_E","Montant Autres Taxes Payés à l'Exportation","Amount Other Taxes Paid for Exportation
"
"SND_MNTPAY_E","Montant Total Payé à l'Exportation","Montant Total Payé à l'Exportation"
"SND_MNTAIR_E",,
"SND_MNTPRD_A","Montant Produit autres régimes","Amount Product other plans"
"SND_MNTTVA_A","Montant TVA autres régimes","VAT amount other schemes"
"SND_MNTDRC_A","Montant Droit de Consommation autres régimes","Amount Consumer Right other plans"
"SND_MNTAVA_A","Montant Avance autres régimes","Amount Advance other plans"
"SND_MNTTAX_A","Montant Autres Taxes Payés autres régimes","Amount Other Taxes Paid other plans"
"SND_MNTPAY_A","Montant Total Payé autres régimes","Amount Total Paid other plans"
"SND_MNTAIR_A",,
"AX1_BRTIMP","Montant Brut Salaire Imposable","Gross Amount Salary Taxable"
"AX2_HONORA","Montant Honoraires","Amount Fees"
"AX2_LOYERS","Montant Loyers","Rent Amount"
"AX3_REVCAP","Montant Revenus Capitaux Mobiliers","Amount Income Capital Furniture"
"AX5_MNTMAR","Montant Marchés","Amount Markets"
"Redressements",,"Adjustments"
"RES_MNTRED","Montant Principal Redressement (Variable à prédire)","Main Amount Adjustment (Variable to predict)"
"RES_MNTRET","Montant Pénalités (Variable à ne pas en tenir compte lors des analyses)","Amount Penalties (Variable not to be taken into account during analyzes)"
"Autres recoupements (Factures en suspension de TVA)",,"Other overlaps (VAT suspended invoices)"
"FAC_MNTPRI_F,","Montants factures émises en suspension de Taxes (Contribuable fournisseur)","Amounts invoices issued in suspension of Taxes (Taxpayer supplier)"
"FAC_MFODEC_F,","Montant taxe FODEC sur factures émises en suspension de Taxes","FODEC tax amount on invoices issued in suspension of Taxes"
"FAC_MNTDCO_F,","Montant Droit de consommation sur factures émises en suspension de Taxes","Amount Consumption Tax on invoices issued in suspension of Taxes"
"FAC_MNTTVA_F,","Montant TVA sur factures émises en suspension de Taxes","VAT amount on invoices issued in suspension of Taxes"
"FAC_MNTPRI_C,","Montants factures en suspension de Taxes (Contribuable en tant que client)","Amounts Invoices Suspended Taxes (Taxpayer as a customer)"
"FAC_MFODEC_C,","Montant taxe FODEC sur factures  en suspension de Taxes","FODEC tax amount on invoices suspended from Taxes"
"FAC_MNTDCO_C,","Montant Droit de consommation sur factures  en suspension de Taxes","Amount Consumption Tax on invoices in suspension of Taxes"
"FAC_MNTTVA_C","Montant TVA sur factures  en suspension de Taxes","VAT amount on invoices suspended from Taxes"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Err:510",,
"FACAGR",,
"Err:510",,
"CTR_MATFIS","Matricule fiscal","Tax identification number"
"CTR_ETBSEC","N°Etablissement Secondaire","No. Secondary School"
"FAC_EXERCI","Exercice","Exercise"
"FAC_MNTPRI_F",,
"FAC_MFODEC_F",,
"FAC_MNTDCO_F",,
"FAC_MNTTVA_F",,
"FAC_MNTPRI_C",,
"FAC_MFODEC_C",,
"FAC_MNTDCO_C",,
"FAC_MNTTVA_C",,
"Err:510",,
"RESVAP","Résultat Vérification Approfondie","Result Deep Check"
"Err:510",,
"CTR_MATFIS","Matricule fiscal","Tax identification number"
"CTR_ETBSEC","N°Etablissement Secondaire","No. Secondary School"
"RES_MNTRED","Montant Principal Redressement","Main Amount Straightening"
"RES_MNTRET","Montant Pénalités ","Amount Penalties"
