id,prefecture,first_name,second_name,latitude,longitude,altitude,date_terminated
aichi__toyama-kana__toyoyama____2005-02-17,aichi,toyama-kana,toyoyama,35.255,136.923333333,14.0,2005-02-17
aichi__toyohashi-kana__toyohashi,aichi,toyohashi-kana,toyohashi,34.75,137.341666667,3.0,
aichi__toyota-kana__toyota,aichi,toyota-kana,toyota,35.1316666667,137.176666667,75.0,
aichi__writer-katakana__tsukodee,aichi,writer-katakana,tsukodee,34.9766666667,137.425,532.0,
akita__NONE__uno-tay,akita,NONE,uno-tay,38.96,140.528333333,335.0,
akita__ai-no-kana__aniayi,akita,ai-no-kana,aniayi,39.9933333333,140.403333333,120.0,
akita__akita-kana__akita,akita,akita-kana,akita,39.7166666667,140.098333333,6.3,
akita__armored-field-kana__yoroi-bata,akita,armored-field-kana,yoroi-bata,39.775,140.665,281.0,
akita__fujisato-kana__fujisato,akita,fujisato-kana,fujisato,40.32,140.293333333,68.0,
akita__fujiwara-kana__fujiwara,akita,fujiwara-kana,fujiwara,40.3533333333,140.78,280.0,
akita__gokojima-kana__gojoume,akita,gokojima-kana,gojoume,39.9383333333,140.115,6.0,
akita__hachimantai-kaa__hachimantai,akita,hachimantai-kaa,hachimantai,40.0133333333,140.801666667,578.0,
akita__hachimori-kana__hachimori,akita,hachimori-kana,hachimori,40.4133333333,139.948333333,34.0,
akita__higase-gen-kana__higa-shinsei,akita,higase-gen-kana,higa-shinsei,39.1783333333,140.648333333,191.0,
akita__hinoki-inside-kana__hinokinai,akita,hinoki-inside-kana,hinokinai,39.8116666667,140.585,255.0,
akita__hitachiuchi-kana__hitachini,akita,hitachiuchi-kana,hitachini,39.9033333333,140.45,210.0,
akita__honjo-cana__honjo,akita,honjo-cana,honjo,39.36,140.055,11.0,
akita__iwami-sanchi-kana__iwamisannai,akita,iwami-sanchi-kana,iwamisannai,39.7066666667,140.286666667,41.0,
akita__jinja-kana__jimba,akita,jinja-kana,jimba,40.4033333333,140.608333333,176.0,
akita__kaga-kana__katsuno,akita,kaga-kana,katsuno,40.215,140.786666667,123.0,
akita__kakunoda-kana__kakunodate,akita,kakunoda-kana,kakunodate,39.6033333333,140.556666667,56.0,
akita__keumuyama-kana__holohayama____2005-04-20,akita,keumuyama-kana,holohayama,39.3683333333,140.316666667,340.0,2005-04-20
akita__mikiyama-sana__mitsumoriyama____1994-10-05,akita,mikiyama-sana,mitsumoriyama,39.2216666667,140.716666667,570.0,1994-10-05
akita__moriyoshiyama-kana__moriyoshiyama____2009-11-02,akita,moriyoshiyama-kana,moriyoshiyama,40.005,140.518333333,800.0,2009-11-02
akita__mt-ukaidoyama__ubaidoyama____1983-09-12,akita,mt-ukaidoyama,ubaidoyama,39.0933333333,140.335,690.0,1983-09-12
akita__nakahara-kana__nikaho,akita,nakahara-kana,nikaho,39.255,139.913333333,7.0,
akita__noritakana__nibetsu,akita,noritakana,nibetsu,39.8,140.216666667,179.0,
akita__noshiro-kana__nosiro,akita,noshiro-kana,nosiro,40.1983333333,140.031666667,6.0,
akita__odate-kana__odate,akita,odate-kana,odate,40.2516666667,140.505,49.0,
akita__oga-kana__oga,akita,oga-kana,oga,39.9116666667,139.9,20.0,
akita__oga-makayama-kana__ogachinesan,akita,oga-makayama-kana,ogachinesan,39.9383333333,139.781666667,84.0,
akita__oga-motoyama-kana__ogahonzan____1984-11-01,akita,oga-motoyama-kana,ogahonzan,39.8916666667,139.766666667,440.0,1984-11-01
akita__ogata-kana__ogata,akita,ogata-kana,ogata,40.0,139.95,3.0,
akita__okae-kana__oomagari,akita,okae-kana,oomagari,39.49,140.495,30.0,
akita__sasako-kana__ginego,akita,sasako-kana,ginego,39.1033333333,140.293333333,200.0,
akita__shingakami-kana__wakigami,akita,shingakami-kana,wakigami,40.1916666667,140.371666667,84.0,
akita__sugizawa-mountain-kana__sugisawayama____1983-09-20,akita,sugizawa-mountain-kana,sugisawayama,40.365,140.81,670.0,1983-09-20
akita__taiheiyama-kana__tai-haisan____1984-10-31,akita,taiheiyama-kana,tai-haisan,39.7833333333,140.25,600.0,1984-10-31
akita__taishoji-kana__daisyouji,akita,taishoji-kana,daisyouji,39.5266666667,140.233333333,20.0,
akita__takanosu-kana__takanos,akita,takanosu-kana,takanos,40.2266666667,140.371666667,29.0,
akita__tashiro-mountain-cana__tasilodake____2005-04-20,akita,tashiro-mountain-cana,tasilodake,40.4116666667,140.4,800.0,2005-04-20
akita__tazawako-kana__tazawaco,akita,tazawako-kana,tazawaco,39.6983333333,140.731666667,230.0,
akita__tazawako-takahara-kana__tazawa-cocogen,akita,tazawako-takahara-kana,tazawa-cocogen,39.7783333333,140.761666667,652.0,
akita__tohru-kana__higashi-yuri,akita,tohru-kana,higashi-yuri,39.305,140.288333333,117.0,
akita__yajima-kana__yashima,akita,yajima-kana,yashima,39.235,140.136666667,46.0,
akita__yokote-kana__NONE,akita,yokote-kana,NONE,39.32,140.555,59.0,
akita__yuuse-kana__NONE,akita,yuuse-kana,NONE,40.12,140.84,214.0,
akita__yuwa-kana__yuwa,akita,yuwa-kana,yuwa,39.615,140.218333333,91.0,
akita__yuzawa-kana__yuzawa,akita,yuzawa-kana,yuzawa,39.1866666667,140.463333333,74.0,
aomori__acid-kettle-kana__sukayu,aomori,acid-kettle-kana,sukayu,40.6483333333,140.848333333,890.0,
aomori__aomori-kana__aomori,aomori,aomori-kana,aomori,40.8216666667,140.768333333,2.8,
aomori__aomori-otani-kana__aomori-ootani,aomori,aomori-otani-kana,aomori-ootani,40.7333333333,140.688333333,198.0,
aomori__asahina-mountain-kana__asahinada-dake____2009-11-02,aomori,asahina-mountain-kana,asahinada-dake,40.325,141.048333333,710.0,2009-11-02
aomori__fukaura-kana__fukaura,aomori,fukaura-kana,fukaura,40.645,139.931666667,66.1,
aomori__goshogawara-kana__goshogawara,aomori,goshogawara-kana,goshogawara,40.8083333333,140.458333333,9.0,
aomori__hachinohe-kana__hachinoho,aomori,hachinohe-kana,hachinoho,40.5266666667,141.521666667,27.1,
aomori__hakkoda-mountain-kana__hakko-dasan____2009-11-02,aomori,hakkoda-mountain-kana,hakko-dasan,40.675,140.858333333,1310.0,2009-11-02
aomori__hikawa-kana__nurkawa,aomori,hikawa-kana,nurkawa,40.515,140.783333333,404.0,
aomori__hirosaki-kana__hirosaki,aomori,hirosaki-kana,hirosaki,40.6116666667,140.455,30.0,
aomori__holiday-kana__yasumiya,aomori,holiday-kana,yasumiya,40.4266666667,140.898333333,414.0,
aomori__ichiura-kana__siura,aomori,ichiura-kana,siura,41.0566666667,140.346666667,20.0,
aomori__ikari-kaseki-kana__ikarigaseki,aomori,ikari-kaseki-kana,ikarigaseki,40.4816666667,140.62,135.0,
aomori__imabari-kana__imabeets,aomori,imabari-kana,imabeets,41.18,140.481666667,30.0,
aomori__kanazawa-kana__ajigasawa,aomori,kanazawa-kana,ajigasawa,40.7766666667,140.205,40.0,
aomori__kanita-kana__kanita,aomori,kanita-kana,kanita,41.045,140.633333333,5.0,
aomori__kuroishi-kana__kuroishi,aomori,kuroishi-kana,kuroishi,40.6666666667,140.585,30.0,
aomori__masaruyama-kana__kenasiyama____1983-09-12,aomori,masaruyama-kana,kenasiyama,40.5516666667,140.753333333,940.0,1983-09-12
aomori__misawa-kana__misawa,aomori,misawa-kana,misawa,40.675,141.375,39.0,
aomori__mito-kana__san-noghe,aomori,mito-kana,san-noghe,40.3833333333,141.256666667,60.0,
aomori__mt-katakana__NONE,aomori,mt-katakana,NONE,40.6283333333,140.263333333,438.0,
aomori__mt-sorakuyama__soradayama____1994-10-26,aomori,mt-sorakuyama,soradayama,40.4383333333,140.708333333,585.0,1994-10-26
aomori__mutsukana__mutsu,aomori,mutsukana,mutsu,41.2833333333,141.21,2.9,
aomori__nagoya-ping-kana__chow-kei-daira____1977-09-01,aomori,nagoya-ping-kana,chow-kei-daira,40.6183333333,139.996666667,242.0,1977-09-01
aomori__nobeyama-kana__north-hegi,aomori,nobeyama-kana,north-hegi,40.885,141.16,14.0,
aomori__odanosawa-kana__odanosawa,aomori,odanosawa-kana,odanosawa,41.235,141.396666667,6.0,
aomori__oma-kana__ooma,aomori,oma-kana,ooma,41.5266666667,140.911666667,14.0,
aomori__owani-kana__owani,aomori,owani-kana,owani,40.53,140.555,63.0,
aomori__rokkasho-kana__roccasso,aomori,rokkasho-kana,roccasso,40.885,141.271666667,80.0,
aomori__shichido-kana__NONE,aomori,shichido-kana,NONE,40.7083333333,141.128333333,57.0,
aomori__shiomon-mori-kana__shi-hei-mori____1996-10-14,aomori,shiomon-mori-kana,shi-hei-mori,40.5516666667,140.206666667,645.0,1996-10-14
aomori__shoji-shanji-kana__shousuyama____2005-10-21,aomori,shoji-shanji-kana,shousuyama,41.2766666667,141.096666667,740.0,2005-10-21
aomori__togani-katakana__heli,aomori,togani-katakana,heli,40.4683333333,141.176666667,125.0,
aomori__towada-kana__towada,aomori,towada-kana,towada,40.595,141.246666667,42.0,
aomori__wakinozawa-kana__wakinoosawa,aomori,wakinozawa-kana,wakinoosawa,41.145,140.821666667,15.0,
aomori__yamato-mountain-kana__yamatoyama,aomori,yamato-mountain-kana,yamatoyama,40.8483333333,140.985,137.0,
aomori__yunogawa-kana__yunokawa,aomori,yunogawa-kana,yunokawa,41.3133333333,140.956666667,162.0,
chiba__abiko-kana__abiko,chiba,abiko-kana,abiko,35.8633333333,140.11,20.0,
chiba__chiba-kana__ciba,chiba,chiba-kana,ciba,35.6016666667,140.103333333,3.5,
chiba__choshi-kana__NONE,chiba,choshi-kana,NONE,35.7383333333,140.856666667,20.1,
chiba__funabashi-kana__funabashi,chiba,funabashi-kana,funabashi,35.7116666667,140.043333333,28.0,
chiba__higashijo-kana__tonosho,chiba,higashijo-kana,tonosho,35.795,140.681666667,52.0,
chiba__kamogawa-kana__camogawa,chiba,kamogawa-kana,camogawa,35.1116666667,140.1,5.0,
chiba__katori-katakana__katri,chiba,katori-katakana,katri,35.8583333333,140.501666667,37.0,
chiba__katsuura-kana__katsuura,chiba,katsuura-kana,katsuura,35.0,140.311666667,11.9,
chiba__kisarazu-kana__xalaatz,chiba,kisarazu-kana,xalaatz,35.3616666667,139.94,60.0,
chiba__mobara-kana__mobara,chiba,mobara-kana,mobara,35.4166666667,140.31,9.0,
chiba__narita-kana__narita,chiba,narita-kana,narita,35.7633333333,140.385,41.0,
chiba__otaki-kana__otaky,chiba,otaki-kana,otaky,35.2516666667,140.215,70.0,
chiba__sakabata-kana__sakahata,chiba,sakabata-kana,sakahata,35.235,140.098333333,120.0,
chiba__sakura-kana__sakura,chiba,sakura-kana,sakura,35.7283333333,140.211666667,5.0,
chiba__sawan-kana__kyanan,chiba,sawan-kana,kyanan,35.1216666667,139.836666667,10.0,
chiba__tateyama-kana__tatoyama,chiba,tateyama-kana,tatoyama,34.9866666667,139.865,5.8,
chiba__ushiku-kana__ushiku,chiba,ushiku-kana,ushiku,35.3966666667,140.148333333,30.0,
chiba__yokoshiba-light-kana__yoshoshiba-bahikari,chiba,yokoshiba-light-kana,yoshoshiba-bahikari,35.6566666667,140.48,6.0,
ehime__finding-company-kana__NONE,ehime,finding-company-kana,NONE,33.795,133.131666667,1280.0,
ehime__futoshi-katakana__tomisato,ehime,futoshi-katakana,tomisato,33.915,133.51,310.0,
ehime__gyoza-kana__mishou,ehime,gyoza-kana,mishou,32.9633333333,132.57,12.0,
ehime__imabari-kana__imabari,ehime,imabari-kana,imabari,34.0533333333,132.975,27.0,
ehime__kamibayashi-kana__kamihayashi,ehime,kamibayashi-kana,kamihayashi,33.7383333333,132.89,460.0,
ehime__konaga-kana__tikanaga,ehime,konaga-kana,tikanaga,33.2533333333,132.675,129.0,
ehime__kuma-kana__bear,ehime,kuma-kana,bear,33.6633333333,132.895,511.0,
ehime__matsuyama-kana__matsuyama,ehime,matsuyama-kana,matsuyama,33.8433333333,132.776666667,32.2,
ehime__matsuyama-minamiyoshida-kana__matsuyama-minami-yoshida,ehime,matsuyama-minamiyoshida-kana,matsuyama-minami-yoshida,33.8266666667,132.698333333,4.0,
ehime__misaki-kana__misaki____1997-07-30,ehime,misaki-kana,misaki,33.3866666667,132.121666667,2.0,1997-07-30
ehime__nagahama-kana__nagahama,ehime,nagahama-kana,nagahama,33.6166666667,132.48,4.0,
ehime__nakayama-kana__nakayama,ehime,nakayama-kana,nakayama,33.6383333333,132.708333333,163.0,
ehime__niihama-kana__niihama,ehime,niihama-kana,niihama,33.9366666667,133.338333333,90.0,
ehime__osu-kana__oos,ehime,osu-kana,oos,33.5083333333,132.535,20.0,
ehime__otasima-kana__oomishima,ehime,otasima-kana,oomishima,34.25,133.006666667,9.0,
ehime__saijo-kana__saigyo,ehime,saijo-kana,saigyo,33.915,133.08,4.0,
ehime__seto-kana__NONE,ehime,seto-kana,NONE,33.4466666667,132.256666667,143.0,
ehime__shikoku-central-kana__shikoku-tsuruto,ehime,shikoku-central-kana,shikoku-tsuruto,33.9816666667,133.581666667,75.0,
ehime__shishigoshigo-kana__shishigo-itoge,ehime,shishigoshigo-kana,shishigo-itoge,33.5433333333,132.831666667,1000.0,
ehime__tamagawa-kana__tamagawa,ehime,tamagawa-kana,tamagawa,34.0183333333,132.94,67.0,
ehime__uwa-kana__owa,ehime,uwa-kana,owa,33.3666666667,132.503333333,200.0,
ehime__uwajima-kana__uwajima,ehime,uwajima-kana,uwajima,33.2266666667,132.551666667,2.4,
ehime__yawatahama-kana__yawata-hama,ehime,yawatahama-kana,yawata-hama,33.4483333333,132.433333333,8.0,
fukui__chunchee-kana__haru,fukui,chunchee-kana,haru,36.1416666667,136.223333333,5.0,
fukui__fukui-kana__fukui,fukui,fukui-kana,fukui,36.055,136.221666667,8.8,
fukui__imajo-kana__imago,fukui,imajo-kana,imago,35.7666666667,136.2,128.0,
fukui__itagaki-kana__itagaki____2009-11-02,fukui,itagaki-kana,itagaki,35.8733333333,136.308333333,620.0,2009-11-02
fukui__kasuga-kana__kasugano____2005-10-26,fukui,kasuga-kana,kasugano,35.8583333333,136.133333333,270.0,2005-10-26
fukui__katsuyama-kana__katsuyama,fukui,katsuyama-kana,katsuyama,36.0383333333,136.521666667,196.0,
fukui__kawakami-kana__kawakami____1995-11-10,fukui,kawakami-kana,kawakami,35.44,135.523333333,75.0,1995-11-10
fukui__koshika-kana__koshino,fukui,koshika-kana,koshino,36.0116666667,135.99,30.0,
fukui__kuzuryuu-kana__kuzulyn,fukui,kuzuryuu-kana,kuzulyn,35.9083333333,136.668333333,436.0,
fukui__mihama-kana__mihama,fukui,mihama-kana,mihama,35.6,135.916666667,10.0,
fukui__mikuni-kana__mikuni,fukui,mikuni-kana,mikuni,36.2433333333,136.173333333,34.0,
fukui__miyama-kana__miyama,fukui,miyama-kana,miyama,35.9983333333,136.358333333,70.0,
fukui__mountain-taylora__taylayama____1981-11-04,fukui,mountain-taylora,taylayama,35.9866666667,136.606666667,510.0,1981-11-04
fukui__obama-kana__obama,fukui,obama-kana,obama,35.4833333333,135.781666667,10.0,
fukui__ohno-kana__ohno,fukui,ohno-kana,ohno,35.9716666667,136.496666667,182.0,
fukui__oihi-kana__oyi,fukui,oihi-kana,oyi,35.48,135.616666667,3.0,
fukui__takefu-kana__takef,fukui,takefu-kana,takef,35.905,136.173333333,32.0,
fukui__tsuruga-katakana__turgha,fukui,tsuruga-katakana,turgha,35.6533333333,136.061666667,1.6,
fukuoka__airport-kita-cho-kana__kuokou-kitamachi,fukuoka,airport-kita-cho-kana,kuokou-kitamachi,33.845,131.035,7.0,
fukuoka__asakura-kana__asakura,fukuoka,asakura-kana,asakura,33.405,130.695,36.0,
fukuoka__dazaifu-kana__dasaif,fukuoka,dazaifu-kana,dasaif,33.4966666667,130.49,52.0,
fukuoka__fukuoka-kana__fukuoka,fukuoka,fukuoka-kana,fukuoka,33.5816666667,130.375,2.5,
fukuoka__hakata-kana__hakata,fukuoka,hakata-kana,hakata,33.5833333333,130.451666667,9.0,
fukuoka__higashitani-kana__higashitani,fukuoka,higashitani-kana,higashitani,33.7783333333,130.865,55.0,
fukuoka__hikoshiyama-kana__hikosan,fukuoka,hikoshiyama-kana,hikosan,33.4883333333,130.923333333,823.0,
fukuoka__iizuka-kana__ikka,fukuoka,iizuka-kana,ikka,33.6516666667,130.693333333,37.1,
fukuoka__koji-sueda__soeda,fukuoka,koji-sueda,soeda,33.5583333333,130.855,92.0,
fukuoka__kokura-kana__cochla____1977-02-16,fukuoka,kokura-kana,cochla,33.835,130.946666667,3.0,1977-02-16
fukuoka__komaba-kana__oronocima,fukuoka,komaba-kana,oronocima,33.8633333333,130.035,49.0,
fukuoka__kuroki-kana__kuroigi,fukuoka,kuroki-kana,kuroigi,33.225,130.645,144.0,
fukuoka__kurume-kana__kurume,fukuoka,kurume-kana,kurume,33.3033333333,130.493333333,7.0,
fukuoka__maehara-kana__maebaru,fukuoka,maehara-kana,maebaru,33.56,130.19,5.0,
fukuoka__mt-kuzukuyama-kana__kusembuyama____2010-03-02,fukuoka,mt-kuzukuyama-kana,kusembuyama,33.4166666667,130.445,852.0,2010-03-02
fukuoka__mt-mt-tanabe__minowansan,fukuoka,mt-mt-tanabe,minowansan,33.2916666667,130.625,607.0,
fukuoka__munakata-kana__munakata,fukuoka,munakata-kana,munakata,33.8083333333,130.538333333,7.0,
fukuoka__omuta-kana__ohuta,fukuoka,omuta-kana,ohuta,33.0066666667,130.466666667,40.0,
fukuoka__sasaguri-kana__sasaburi____2009-11-20,fukuoka,sasaguri-kana,sasaburi,33.6383333333,130.545,376.0,2009-11-20
fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka,sayara-wakayama-kana,sawarawakiyama,33.4883333333,130.353333333,83.0,
fukuoka__sone-kana__sone____2006-03-15,fukuoka,sone-kana,sone,33.835,130.946666667,3.0,2006-03-15
fukuoka__takayuki-kana__kagomekoyoshi____2012-02-15,fukuoka,takayuki-kana,kagomekoyoshi,33.7416666667,130.843333333,180.0,2012-02-15
fukuoka__yanagawa-kana__yanagawa,fukuoka,yanagawa-kana,yanagawa,33.16,130.403333333,7.0,
fukuoka__yawata-kana__yahata,fukuoka,yawata-kana,yahata,33.8516666667,130.743333333,20.0,
fukuoka__yukuhashi-kana__yukuhashi,fukuoka,yukuhashi-kana,yukuhashi,33.7133333333,130.975,9.0,
fukushima__asakusa-dake-kana__asakusadake____1977-10-14,fukushima,asakusa-dake-kana,asakusadake,37.3433333333,139.236666667,1520.0,1977-10-14
fukushima__azumayama-kana__azumayama____2009-11-02,fukushima,azumayama-kana,azumayama,37.7216666667,140.275,1300.0,2009-11-02
fukushima__fukushima-kana__fukushima,fukushima,fukushima-kana,fukushima,37.7583333333,140.47,67.4,
fukushima__hakuba-masaruyama-kana__shiraumaishiyama____1981-10-26,fukushima,hakuba-masaruyama-kana,shiraumaishiyama,37.58,140.725,640.0,1981-10-26
fukushima__haramachi-kana__hareamachi,fukushima,haramachi-kana,hareamachi,37.6383333333,140.983333333,17.0,
fukushima__hibara-kana__librera,fukushima,hibara-kana,librera,37.7216666667,140.058333333,824.0,
fukushima__higashi-shirakawa-kana__higashi-silakawa,fukushima,higashi-shirakawa-kana,higashi-silakawa,36.9383333333,140.408333333,183.0,
fukushima__hinoki-kana__hinoemata,fukushima,hinoki-kana,hinoemata,37.01,139.375,973.0,
fukushima__hirakana__tyra,fukushima,hirakana,tyra,37.065,140.876666667,12.0,
fukushima__hirono-kana__hiroono,fukushima,hirono-kana,hiroono,37.2333333333,141.0,43.0,
fukushima__hunan-kana__conan,fukushima,hunan-kana,conan,37.3883333333,140.09,536.0,
fukushima__iidaniyama-kana__ititaniyama____2005-04-20,fukushima,iidaniyama-kana,ititaniyama,37.5266666667,139.683333333,720.0,2005-04-20
fukushima__iitate-kana__ititate,fukushima,iitate-kana,ititate,37.665,140.726666667,460.0,
fukushima__inari-pass-kana__inarishuge____2009-11-02,fukushima,inari-pass-kana,inarishuge,37.7566666667,139.735,800.0,2009-11-02
fukushima__inawashiro-kana__inawashiro,fukushima,inawashiro-kana,inawashiro,37.5516666667,140.108333333,519.0,
fukushima__ishikawa-kana__ishikawa,fukushima,ishikawa-kana,ishikawa,37.1466666667,140.46,290.0,
fukushima__kaminouna__katono____2009-03-16,fukushima,kaminouna,katono,37.0083333333,140.736666667,125.0,2009-03-16
fukushima__kanayama-kana__kaneyama,fukushima,kanayama-kana,kaneyama,37.4733333333,139.528333333,296.0,
fukushima__kannonyama-kana__kanonoyama____1978-10-16,fukushima,kannonyama-kana,kanonoyama,37.1833333333,139.925,1050.0,1978-10-16
fukushima__kawakami-kana__kawamae,fukushima,kawakami-kana,kawamae,37.2466666667,140.723333333,492.0,
fukushima__kawauchi-kana__cowut,fukushima,kawauchi-kana,cowut,37.3366666667,140.808333333,410.0,
fukushima__kitakata-kana__kitakatta,fukushima,kitakata-kana,kitakatta,37.6583333333,139.863333333,212.0,
fukushima__komagomeki-kana__komado-metehage____2009-11-02,fukushima,komagomeki-kana,komado-metehage,37.21,139.613333333,1145.0,2009-11-02
fukushima__koneda-kana__fuldono,fukushima,koneda-kana,fuldono,37.09,140.56,347.0,
fukushima__koriyama-kana__ko-oriyama,fukushima,koriyama-kana,ko-oriyama,37.3683333333,140.33,249.0,
fukushima__megumi-kana__moniwa,fukushima,megumi-kana,moniwa,37.8916666667,140.436666667,200.0,
fukushima__mt-ohtsubayama__otsubeyama____2009-11-02,fukushima,mt-ohtsubayama,otsubeyama,37.08,140.636666667,688.0,2009-11-02
fukushima__naganuma-kana__naganuma,fukushima,naganuma-kana,naganuma,37.2883333333,140.218333333,317.0,
fukushima__namie-kana__namie,fukushima,namie-kana,namie,37.4916666667,140.965,47.0,
fukushima__nango-kana__NONE,fukushima,nango-kana,NONE,37.265,139.536666667,494.0,
fukushima__new-place-kana__shinchi,fukushima,new-place-kana,shinchi,37.875,140.918333333,10.0,
fukushima__nihonmatsu-kana__japanese-pine,fukushima,nihonmatsu-kana,japanese-pine,37.5833333333,140.43,235.0,
fukushima__nishi-aizu-kana__nyaizites,fukushima,nishi-aizu-kana,nyaizites,37.5883333333,139.656666667,165.0,
fukushima__onahama-kana__onahama,fukushima,onahama-kana,onahama,36.9466666667,140.903333333,3.3,
fukushima__onojimachi-kana__ononiimachi,fukushima,onojimachi-kana,ononiimachi,37.2866666667,140.625,433.0,
fukushima__phd-pass-kana__hakase-sete____2009-11-02,fukushima,phd-pass-kana,hakase-sete,37.34,139.723333333,1233.0,2009-11-02
fukushima__pulling-cana__funeki,fukushima,pulling-cana,funeki,37.435,140.576666667,421.0,
fukushima__sanno-toge-kana__sannokuhage____2009-11-02,fukushima,sanno-toge-kana,sannokuhage,37.0,139.731666667,1080.0,2009-11-02
fukushima__shirakawa-kana__sirakawa,fukushima,shirakawa-kana,sirakawa,37.1316666667,140.215,355.0,
fukushima__six-kurosato-kana__rokjuurigoe____2009-11-02,fukushima,six-kurosato-kana,rokjuurigoe,37.3033333333,139.216666667,860.0,2009-11-02
fukushima__soma-horse__soma,fukushima,soma-horse,soma,37.7833333333,140.925,9.0,
fukushima__tadaomi-katakana__tadami,fukushima,tadaomi-katakana,tadami,37.3433333333,139.313333333,377.0,
fukushima__tajima-kana__tajima,fukushima,tajima-kana,tajima,37.2066666667,139.795,544.0,
fukushima__tamagawa-kana__tamakawa,fukushima,tamagawa-kana,tamakawa,37.2266666667,140.426666667,372.0,
fukushima__tashiroyama-kana__tashiroyama____2009-11-02,fukushima,tashiroyama-kana,tashiroyama,36.98,139.481666667,1920.0,2009-11-02
fukushima__tateiwa-kana__tateiwa,fukushima,tateiwa-kana,tateiwa,37.0916666667,139.531666667,690.0,
fukushima__tomioka-kana__tomioka,fukushima,tomioka-kana,tomioka,37.3466666667,141.016666667,50.0,
fukushima__tsushima-kana__tsushima,fukushima,tsushima-kana,tsushima,37.56,140.753333333,400.0,
fukushima__wakamatsu-kana__wakamatsu,fukushima,wakamatsu-kana,wakamatsu,37.4883333333,139.91,211.7,
fukushima__washikura-kana__washikla,fukushima,washikura-kana,washikla,37.6683333333,140.26,1220.0,
fukushima__yagisawa-kana__yagisawa____2005-03-31,fukushima,yagisawa-kana,yagisawa,37.6966666667,140.82,540.0,2005-03-31
fukushima__yamada-kana__yamada,fukushima,yamada-kana,yamada,36.9333333333,140.733333333,25.0,
fukushima__yanagawa-kana__yanagawa,fukushima,yanagawa-kana,yanagawa,37.8516666667,140.588333333,43.0,
fukushima__yoshio-toge-kana__yoshi-toge____2009-11-02,fukushima,yoshio-toge-kana,yoshi-toge,37.3466666667,139.556666667,705.0,2009-11-02
fukushima__yumoto-kana__yumoto,fukushima,yumoto-kana,yumoto,37.2766666667,140.063333333,640.0,
gifu__akira-kana__tsuketchi,gifu,akira-kana,tsuketchi,35.6616666667,137.426666667,461.0,
gifu__dainichi-kana__dainichi____1990-10-15,gifu,dainichi-kana,dainichi,36.0183333333,136.881666667,1178.0,1990-10-15
gifu__ena-kana__ena,gifu,ena-kana,ena,35.4466666667,137.403333333,315.0,
gifu__funayama-kana__funayama,gifu,funayama-kana,funayama,36.035,137.26,880.0,
gifu__gallery-kana__galang,gifu,gallery-kana,galang,35.515,137.23,650.0,
gifu__gifu-kana__gif,gifu,gifu-kana,gif,35.4,136.761666667,12.7,
gifu__hachiman-kana__hachimann,gifu,hachiman-kana,hachimann,35.7566666667,136.978333333,250.0,
gifu__hagiwara-kana__hagiwara,gifu,hagiwara-kana,hagiwara,35.8883333333,137.206666667,425.0,
gifu__hirai-kana__hirai____2009-11-02,gifu,hirai-kana,hirai,35.5666666667,136.728333333,325.0,2009-11-02
gifu__hirugano-kana__hirgano,gifu,hirugano-kana,hirgano,36.01,136.893333333,885.0,
